rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
53,0.0001,5.26,0.1538,4,346.42,87.7,"{""ceramic_fiber"": 157.51, ""fumed_silica"": 22.36, ""graphene"": 0.92, ""gypsum"": 165.47}",53. k=0.00010 | $5.26/kg | 4 comp
54,0.0001,5.26,0.1542,4,320.33,87.7,"{""ceramic_fiber"": 146.56, ""fumed_silica"": 19.65, ""graphene"": 0.9, ""gypsum"": 153.07}",54. k=0.00010 | $5.26/kg | 4 comp
55,0.0001,5.26,0.1542,4,334.36,87.7,"{""ceramic_fiber"": 152.24, ""fumed_silica"": 21.22, ""graphene"": 0.9, ""gypsum"": 159.86}",55. k=0.00010 | $5.26/kg | 4 comp
56,0.0001,5.26,0.155,4,354.98,87.7,"{""ceramic_fiber"": 161.15, ""fumed_silica"": 22.59, ""graphene"": 1.0, ""gypsum"": 170.1}",56. k=0.00010 | $5.26/kg | 4 comp
57,0.0001,5.26,0.1552,4,327.66,87.7,"{""ceramic_fiber"": 148.63, ""fumed_silica"": 20.88, ""graphene"": 0.98, ""gypsum"": 157.01}",57. k=0.00010 | $5.26/kg | 4 comp
58,0.0001,5.26,0.1571,4,314.66,87.6,"{""ceramic_fiber"": 139.75, ""fumed_silica"": 22.12, ""graphene"": 0.9, ""gypsum"": 151.73}",58. k=0.00010 | $5.26/kg | 4 comp
59,0.0001,5.27,0.1489,4,350.51,88.0,"{""ceramic_fiber"": 165.14, ""fumed_silica"": 19.33, ""graphene"": 0.93, ""gypsum"": 164.9}",59. k=0.00010 | $5.27/kg | 4 comp
60,0.0001,5.27,0.1508,4,308.51,87.9,"{""ceramic_fiber"": 145.32, ""fumed_silica"": 16.3, ""graphene"": 0.99, ""gypsum"": 145.79}",60. k=0.00010 | $5.27/kg | 4 comp
61,0.0001,5.27,0.1509,4,320.73,87.9,"{""ceramic_fiber"": 150.31, ""fumed_silica"": 17.65, ""graphene"": 0.95, ""gypsum"": 151.67}",61. k=0.00010 | $5.27/kg | 4 comp
62,0.0001,5.27,0.1517,4,324.13,87.9,"{""ceramic_fiber"": 150.26, ""fumed_silica"": 19.07, ""graphene"": 0.91, ""gypsum"": 153.76}",62. k=0.00010 | $5.27/kg | 4 comp
63,0.0001,5.27,0.1521,4,310.37,87.8,"{""ceramic_fiber"": 144.44, ""fumed_silica"": 17.56, ""graphene"": 0.93, ""gypsum"": 147.28}",63. k=0.00010 | $5.27/kg | 4 comp
64,0.0001,5.27,0.1524,4,299.64,87.8,"{""ceramic_fiber"": 139.24, ""fumed_silica"": 17.02, ""graphene"": 0.93, ""gypsum"": 142.28}",64. k=0.00010 | $5.27/kg | 4 comp
65,0.0001,5.27,0.1526,4,321.59,87.8,"{""ceramic_fiber"": 148.16, ""fumed_silica"": 19.44, ""graphene"": 0.96, ""gypsum"": 152.9}",65. k=0.00010 | $5.27/kg | 4 comp
66,0.0001,5.27,0.1542,4,310.34,87.7,"{""ceramic_fiber"": 141.79, ""fumed_silica"": 19.23, ""graphene"": 0.95, ""gypsum"": 148.24}",66. k=0.00010 | $5.27/kg | 4 comp
67,0.0001,5.27,0.1546,4,296.52,87.7,"{""ceramic_fiber"": 134.86, ""fumed_silica"": 18.79, ""graphene"": 0.91, ""gypsum"": 141.81}",67. k=0.00010 | $5.27/kg | 4 comp
68,0.0001,5.27,0.1546,4,307.47,87.7,"{""ceramic_fiber"": 140.03, ""fumed_silica"": 19.3, ""graphene"": 0.93, ""gypsum"": 147.05}",68. k=0.00010 | $5.27/kg | 4 comp
69,0.0001,5.27,0.155,4,302.6,87.7,"{""ceramic_fiber"": 137.32, ""fumed_silica"": 19.31, ""graphene"": 0.95, ""gypsum"": 144.83}",69. k=0.00010 | $5.27/kg | 4 comp
70,0.0001,5.27,0.1554,4,289.94,87.7,"{""ceramic_fiber"": 131.34, ""fumed_silica"": 18.6, ""graphene"": 0.9, ""gypsum"": 138.96}",70. k=0.00010 | $5.27/kg | 4 comp
