rank,k_eff,cost_usd_per_kg,density_g_per_cm3,num_components,total_mass_g,porosity_pct,masses_json,display_line
254,0.0001,5.41,0.166,4,168.94,87.1,"{""ceramic_fiber"": 68.14, ""fumed_silica"": 16.51, ""graphene"": 0.9, ""gypsum"": 83.23}",254. k=0.00010 | $5.41/kg | 4 comp
255,0.0001,5.41,0.1673,4,182.18,87.0,"{""ceramic_fiber"": 72.08, ""fumed_silica"": 18.86, ""graphene"": 0.95, ""gypsum"": 90.14}",255. k=0.00010 | $5.41/kg | 4 comp
256,0.0001,5.41,0.168,4,170.9,86.9,"{""ceramic_fiber"": 67.48, ""fumed_silica"": 17.67, ""graphene"": 0.91, ""gypsum"": 84.68}",256. k=0.00010 | $5.41/kg | 4 comp
257,0.0001,5.41,0.1683,4,168.4,86.9,"{""ceramic_fiber"": 66.66, ""fumed_silica"": 17.17, ""graphene"": 0.92, ""gypsum"": 83.48}",257. k=0.00010 | $5.41/kg | 4 comp
258,0.0001,5.41,0.1691,4,170.17,86.9,"{""ceramic_fiber"": 67.36, ""fumed_silica"": 17.19, ""graphene"": 0.96, ""gypsum"": 84.5}",258. k=0.00010 | $5.41/kg | 4 comp
259,0.0001,5.41,0.1699,4,170.2,86.8,"{""ceramic_fiber"": 66.63, ""fumed_silica"": 17.72, ""graphene"": 0.95, ""gypsum"": 84.74}",259. k=0.00010 | $5.41/kg | 4 comp
260,0.0001,5.41,0.1709,4,174.1,86.8,"{""ceramic_fiber"": 66.42, ""fumed_silica"": 19.56, ""graphene"": 0.9, ""gypsum"": 87.02}",260. k=0.00010 | $5.41/kg | 4 comp
261,0.0001,5.41,0.172,4,180.43,86.7,"{""ceramic_fiber"": 68.26, ""fumed_silica"": 20.59, ""graphene"": 0.95, ""gypsum"": 90.46}",261. k=0.00010 | $5.41/kg | 4 comp
262,0.0001,5.41,0.1751,4,167.43,86.6,"{""ceramic_fiber"": 61.92, ""fumed_silica"": 19.8, ""graphene"": 0.9, ""gypsum"": 84.61}",262. k=0.00010 | $5.41/kg | 4 comp
263,0.0001,5.42,0.1643,4,164.41,87.2,"{""ceramic_fiber"": 67.69, ""fumed_silica"": 15.1, ""graphene"": 0.93, ""gypsum"": 80.46}",263. k=0.00010 | $5.42/kg | 4 comp
264,0.0001,5.42,0.1654,4,173.34,87.1,"{""ceramic_fiber"": 69.92, ""fumed_silica"": 17.07, ""graphene"": 0.94, ""gypsum"": 85.24}",264. k=0.00010 | $5.42/kg | 4 comp
265,0.0001,5.42,0.1669,4,181.9,87.0,"{""ceramic_fiber"": 71.45, ""fumed_silica"": 19.35, ""graphene"": 0.93, ""gypsum"": 89.9}",265. k=0.00010 | $5.42/kg | 4 comp
266,0.0001,5.42,0.1674,4,170.08,87.0,"{""ceramic_fiber"": 68.46, ""fumed_silica"": 16.47, ""graphene"": 1.0, ""gypsum"": 83.99}",266. k=0.00010 | $5.42/kg | 4 comp
267,0.0001,5.42,0.1688,4,169.85,86.9,"{""ceramic_fiber"": 66.41, ""fumed_silica"": 18.02, ""graphene"": 0.92, ""gypsum"": 84.35}",267. k=0.00010 | $5.42/kg | 4 comp
268,0.0001,5.42,0.1693,4,172.99,86.9,"{""ceramic_fiber"": 67.16, ""fumed_silica"": 18.69, ""graphene"": 0.94, ""gypsum"": 86.05}",268. k=0.00010 | $5.42/kg | 4 comp
269,0.0001,5.42,0.1698,4,163.83,86.9,"{""ceramic_fiber"": 64.11, ""fumed_silica"": 17.09, ""graphene"": 0.95, ""gypsum"": 81.48}",269. k=0.00010 | $5.42/kg | 4 comp
270,0.0001,5.42,0.1702,4,164.69,86.8,"{""ceramic_fiber"": 64.06, ""fumed_silica"": 17.48, ""graphene"": 0.94, ""gypsum"": 82.02}",270. k=0.00010 | $5.42/kg | 4 comp
271,0.0001,5.42,0.1703,4,173.76,86.8,"{""ceramic_fiber"": 67.71, ""fumed_silica"": 18.32, ""graphene"": 0.98, ""gypsum"": 86.6}",271. k=0.00010 | $5.42/kg | 4 comp
272,0.0001,5.42,0.1705,4,167.78,86.8,"{""ceramic_fiber"": 64.54, ""fumed_silica"": 18.43, ""graphene"": 0.91, ""gypsum"": 83.72}",272. k=0.00010 | $5.42/kg | 4 comp
273,0.0001,5.42,0.1709,4,157.24,86.8,"{""ceramic_fiber"": 60.87, ""fumed_silica"": 16.84, ""graphene"": 0.91, ""gypsum"": 78.41}",273. k=0.00010 | $5.42/kg | 4 comp
274,0.0001,5.42,0.1709,4,165.62,86.8,"{""ceramic_fiber"": 63.75, ""fumed_silica"": 18.08, ""graphene"": 0.91, ""gypsum"": 82.73}",274. k=0.00010 | $5.42/kg | 4 comp
275,0.0001,5.42,0.1729,4,163.26,86.7,"{""ceramic_fiber"": 62.0, ""fumed_silica"": 18.19, ""graphene"": 0.94, ""gypsum"": 81.93}",275. k=0.00010 | $5.42/kg | 4 comp
276,0.0001,5.42,0.1731,4,159.86,86.7,"{""ceramic_fiber"": 60.63, ""fumed_silica"": 17.88, ""graphene"": 0.91, ""gypsum"": 80.27}",276. k=0.00010 | $5.42/kg | 4 comp
277,0.0001,5.42,0.1733,4,164.15,86.7,"{""ceramic_fiber"": 61.63, ""fumed_silica"": 18.91, ""graphene"": 0.92, ""gypsum"": 82.49}",277. k=0.00010 | $5.42/kg | 4 comp
278,0.0001,5.42,0.1738,4,161.65,86.6,"{""ceramic_fiber"": 60.58, ""fumed_silica"": 18.61, ""graphene"": 0.92, ""gypsum"": 81.32}",278. k=0.00010 | $5.42/kg | 4 comp
279,0.0001,5.42,0.1741,4,163.02,86.6,"{""ceramic_fiber"": 60.93, ""fumed_silica"": 18.88, ""graphene"": 0.93, ""gypsum"": 82.11}",279. k=0.00010 | $5.42/kg | 4 comp
280,0.0001,5.43,0.1702,4,152.09,86.8,"{""ceramic_fiber"": 59.1, ""fumed_silica"": 16.21, ""graphene"": 0.9, ""gypsum"": 75.72}",280. k=0.00010 | $5.43/kg | 4 comp
